Requested Quantity 1,Part Number,Vendor,Manufacturer Part Number,Description,Reference Designator
1,ED11524-ND,digikey,6331-0-00-15-00-00-08-0,A1,A1
1,ED11524-ND,digikey,6331-0-00-15-00-00-08-0,A2,A2
1,ED11524-ND,digikey,6331-0-00-15-00-00-08-0,A3,A3
26,490-8814-ND,digikey,RDER71H104K0K1H03B,.1uF,"C1, C2, C4, C5, C6, C7, C10, C12, C16, C18, C20, C22, C31, C35, C37, C39, C44, C45, C46, C47, C48, C49, C50, C51, C53, C55"
1,718-2229-ND,digikey,515D105M050JA6AE3,1uF 50V,C8
4,P10369CT-ND,digikey,ECA-1CM101B,100uF 16v,"C9, C11, C34, C54"
1,490-9014-1-ND,digikey,RDE5C1H390J0M1H03A,39pF,C13
1,445-180775-1-ND,digikey,FA28NP01H330JNU06,33pF,C14
2,490-9030-1-ND,digikey,RDE5C1H560J0M1H03A,56pF,"C15, C17"
1,493-16246-1-ND,digikey,ULD1C470MDD1TD,47uF 16v,C19
2,445-180756-1-ND,digikey,FA28C0G2E151JNU06,150pF,"C21, C23"
2,445-180714-1-ND,digikey,FA28C0G1H182JNU06,1800pF,"C24, C25"
10,399-14073-1-ND,digikey,C317C223M5U5TA7301,.022uF,"C26, C27, C28, C29, C30, C33, C40, C41, C42, C43"
1,493-10824-1-ND,digikey,UES1E100MDM1TD,10uF NP,C32
1,1189-1145-ND,digikey,16YXJ4700M16X25,4700uF 16V,C36
1,493-15896-1-ND,digikey,URS1C221MPD1TA,220uF  16V,C38
1,S9672-ND,digikey,EBC20DRAS,Conn_02x20_Odd_Even,CN1
1,A144434-ND,digikey,6-520415-6,Conn_01x16_Female,CN2
2,23-0022182121-ND,digikey,22182121,Conn_01x12_Female,"CN3, CN4"
6,1N4148FS-ND,digikey,1N4148,1N4148,"D1, D2, D3, D4, D7, D12"
2,1N4148FS-ND,digikey,1N4148,1KF20-04,"D5, D6"
2,1N4002GDICT-ND,digikey,1N4002G-T,1N4002,"D8, D9"
2,1N5401GDICT-ND,digikey,1N5401G-T,1N5401,"D10, D11"
5,1934-1364-ND,digikey,2743007111,Ferrite_Bead_Small,"FB1, FB2, FB3, FB4, FB5"
1,ED3048-5-ND,digikey,ED40DT,MC6809E,IC1
1,ED3048-5-ND,digikey,ED40DT,SN74LS785N,IC2
1,,,,MC6847T1,IC3
1,ED3048-5-ND,digikey,ED40DT,6821,IC4
1,ED3048-5-ND,digikey,ED40DT,SC67331P,IC5
1,1175-1479-ND,digikey,243-20-1-03,SC77526,IC6
1,A120349-ND,digikey,1-2199298-4,SC77527P,IC7
1,AE10004-ND,digikey,A 28-LC-TT,27C128,IC8
2,AE9995-ND,digikey,A 18-LC-TT,TMS4416,"IC10, IC11"
1,A120349-ND,digikey,1-2199298-4,74LS138,IC12
1,A120349-ND,digikey,1-2199298-4,74LS138,IC12
8,SN74LS138N,,,KM4164,"IC14, IC15, IC16, IC17, IC18, IC19, IC20, IC21"
1,,,,74LS02,IC22
1,CP-2360-ND,digikey,SDS-60J,Right Joystick,JK1
1,CP-2360-ND,digikey,SDS-60J,Left Joystick,JK2
1,CP-2340-ND,digikey,SDS-40J,RS232,JK3
1,CP-2350-ND,digikey,SDS-50J,Cassette,JK4
1,KSD880OFS-ND,digikey,KSD880O,KSD880O,Q1
6,CF14JT10K0CT-ND,digikey,CF14JT10K0,10k,"R1, R2, R3, R4, R8, R9"
1,CF12JT100RCT-ND,digikey,CF12JT100R,100 1/2W,R5
4,100XBK-ND,digikey,MFR-25FBF52-100R,100,"R6, R11, R12, R29"
1,CF14JT150RCT-ND ,digikey,CF14JT150R,150,R7
8,CF14JT4K70CT-ND  ,digikey,Stackpole Electronics Inc,4.7K,"R10, R15, R16, R17, R18, R19, R20, R32"
2,CF14JT100KCT-ND,digikey,CF14JT100K,100K,"R13, R14"
1,1.50KXBK-ND,digikey,MFR-25FBF52-1K5,1.5k,R21
1,CF14JT510RCT-ND,digikey,CF14JT510R,510,R22
1,CF12JT220RCT-ND,digikey,CF12JT220R,220 1/2W,R23
1,2019-CF1/4CT52R510JCT-ND,digikey,CF1/4CT52R510J,51,R24
1,RSMF1JTR100CT-ND,digikey,RSMF1JTR100,.1 ohms 1W,R25
2,CF14JT1K00CT-ND,digikey,CF14JT1K00,1K,"R26, R27"
1,BC4316CT-ND,digikey,SFR16S0002700JA500,270 1/2W,R28
2,CF14JT33R0CT-ND,digikey,CF14JT33R0,33,"R30, R31"
1,2449-J0971CS5VDC.45-ND,digikey,J0971CS5VDC.45,J0971CS5VDC.45,RY1
1,401-1223-ND,digikey,F2UEE,SW_DPDT_x2,SW1
1,,,,SW_DPDT_x2-Switch,SW2
1,SW410-ND,digikey,B3F-3152,Reset Switch,SW3
1,2447-GKG50015-ND,digikey,GKG50015,C_Variable,TC1
1,CTX088-ND,digikey,MP143,14.31818 Mhz,X1
